review,actual_label,predicted_label,recommendation_score
不错！挺好的,1,1,0.9996994338951106
很好,1,1,0.9994526037379073
商品收到了，感觉质量不错，快递速度挺快的，隔天就收到货了，非常满意的服务态度，大品牌可以信赖一些，相当不错的一次购物体验，店家服务态度很好，商品种类挺丰富的，有很好的挑选的余地，价格实惠，不贵，相当不错，给好评了，很漂亮的一次服务，感谢店家。,1,1,0.9993945966830771
不错，很流畅，很好用，女儿很喜欢。,1,1,0.9993614449167508
618活动买的很划算，超级值得。一直用轻扬的洗发水效果不错，用完很舒服京东物流很贴心速度很快还送了很多正品超级划算不错！！！！日期很好????,1,1,0.9991818364222697
很好很不错，种类很多，很好看，好评,1,1,0.9991340519873466
苹果很好吃很香，又甜又脆的，赶上搞活动买的，一直都很喜欢吃，已经多次购买了，喜欢的亲们赶紧下单吧，物流快，包装的很好，没什么坏果，赞赞赞,1,1,0.9987505522063851
很好不错 也很清晰喜欢,1,1,0.9986977144037659
非常不错，快递也很快，水蜜桃比超市便宜很多，很实惠，苹果也很甜，不错不错,1,1,0.9986645591174566
"房间装修很好,尤其是床垫,住起来很舒服.卫生也很好,很干净.服务还可以,结帐速度挺快的.酒店的位置也可以,交通还很方便.餐厅海鲜的品种有点少,朋友聚会也挺好的.最主要的是价格实惠!!呵呵!!!反正总体感觉还可以,在秦皇岛的三星级酒店来说,性价比还是很高的.推荐!!!",1,1,0.9984719228091362
宝贝收到了，尺码很正啊，我很喜欢，穿上很舒服，也很漂亮，性价比也很高，整体的感觉不错，很喜欢，赞一个,1,1,0.9984652256461584
不错，很流畅，好用,1,1,0.9984467685161331
"同事推荐的，所以趁着活动赶紧入手。感觉还是很不错的,8.4寸的屏幕，不大不小，刚刚好。麒麟950的cpu，运行也挺快的，拿来王者也是不错的。哈哈哈。还可以拓卡。值得推荐。买的套淡淡的粉，感觉也还行吧，不过可能会考虑入手一个硅胶套，用着比较方便。",1,1,0.9982898430028421
信号非常好，不错，接收很快，外观也可以，大赞?,1,1,0.9982740329348274
苹果很喜欢，个头不大，没有坏果，很漂亮，味道也不错，喜欢在京东买水果，包装的非常好，水果也很漂亮，,1,1,0.9982106827762453
很好。有弹力，穿着显瘦。颜色也不错，很喜欢，下次还来光顾。朋友都说很物有所值 ，以后也会来光顾，物流速度很快 ，俩天就到了，很满意的一次购物。希望店家生意越做越好，质量继续提高！,1,1,0.9980948477769074
物流很给力，质量很好，宝贝我收到，外观好美挺合适刚刚好，很喜欢挺合适，款式不错的。,1,1,0.9980406746000134
华为品牌不错，商品物美价廉，送货及时，外观完整，使用比较流畅，画面感不错。,1,1,0.9979056131061119
"上周来千岛湖度假,在网上预订了该酒店,非常不错,很适合度假的自驾车家庭,酒店离千岛湖城区不过二分钟的车程,在一个单独的山坡上,很大气，环境非常好,安静、酒店有很大区域的绿化，早晨起床绕酒店走走感觉不要太好，酒店大堂前的平台上看出去就是千岛湖，很美丽。酒店几幢房子由连廊连接而成，晚上在连廊上就可以看到千岛湖镇广场的喷泉及夜景，还有个室外的游泳池，免费的，真好。有房间里可以直接看到千岛湖，湖上岛坞一个个错落有致。唯一就是房间设施略显陈旧，卫生倒是做得非常好。餐厅的鱼头味道不错，价格也合适，早餐稍显单调，蒸老南瓜很好吃，绿色食品，不过一个房间的两份早餐，我带着小朋友服务人员也人性化的免费的，感觉还是不错的。还有一点很重要，这里的服务人员都很有礼貌，在三星酒店来说，很难得，看得出酒店管理还是不错的。当然，最最重要的是，价格很合适，也许设备设施不如其它高星级的酒店，但相比价格而言，性价比还是蛮高的了。下次来千岛湖还会住假日饭店，当然中彩票大奖后除外！",1,1,0.9979045389641108
不错 不错，，，很好的。,1,1,0.9978815647175882
京东物流很快速，保护的也不错。超喜欢的平板。用了几天来评价，运行流畅。播放的影音，画面也非常清晰。非常好。也赠送了不少实用的配件。给华为赞一个。很好。,1,1,0.9978436861396881
苹果不错，口感很好，好吃没的说，卖相也好看，京东自营，快递依然给力，包装也好下次还会来的大家多多支持,1,1,0.9977577984094823
裤子质量很好，很舒适，弹性很不错，挺满意的,1,1,0.9976978789310903
东西非常好，物流也很快。这次购物很满意。在京东买了好几次东西了，都很不错。尤其是自营的，很有保障。用一段时间后再来追加评论。目前还是不错的。,1,1,0.997589645447538
单位发福利购买的，很好很不错，很喜欢，京东购物很方便。,1,1,0.9974532237511823
不错的东东，质量很好，价格实惠，物流很快，一直很信任京东，赞一个，好评！,1,1,0.9974359280525752
