review,actual_label,predicted_label,recommendation_score
不错挺好吃,1,1,0.9954486853077402
不错，非常好,1,1,0.9845253194450472
不错很好吃,1,1,0.9822617078335133
送餐师傅超级快，态度也特别好，餐也很好吃,1,1,0.9739705382350596
很快，也很好喝，不错,1,1,0.9736879803495857
味道不错，很好，包装也很好，就是有点小贵,1,1,0.9716705977208087
味道好，速度快，不错。,1,1,0.9690855323475955
非常快，服务很好，好,1,1,0.9681256035782776
"很好,很快,好吃",1,1,0.9673048482493339
百度骑士非常快，菜品也很不错，好像有所升级,1,1,0.9662547376959304
味道不错，好吃,1,1,0.9656260955147485
好吃，荤素比例很好,1,1,0.9626443129658971
很快，很好，经常订，谢谢师傅,1,1,0.9607603495824499
特别特别好，谢谢，很好吃,1,1,0.9603535781298145
不错！很好！不错！,1,1,0.9587873208516506
百度骑士非常好，赞一个,1,1,0.9576826047394424
非常好吃，送餐很快，绝对好评,1,1,0.9574808016647367
很好，百度骑士师傅很好，很快速的送到，大赞,1,1,0.9571726842927207
非常好吃，包装很严密,1,1,0.9545831388939843
小哥很棒，态度很好，才还热着，很好!,1,1,0.9545127536632667
送餐小哥真快，菜也很好吃,1,1,0.9533693267967904
味道不错呀，鸡翅好吃！,1,1,0.952217990609594
好评，服务好，态度好，味道也很好！,1,1,0.9508462393923233
很快，很好,1,1,0.9503542575987926
配送很快，赞！套餐份量很足，味道很好，特价价格也很便宜，非常划算！,1,1,0.9479157542091821
卷饼非常好吃！,1,1,0.947711990007933
"很好吃,超值",1,1,0.9473278068910904
很好吃，菜品味道很好，有要求都很爽快满足，赞,1,1,0.947316209459445
很好，本次也很快,1,1,0.9472159523690787
味道很好，分量足，好好吃,1,1,0.9466812983537816
快递小哥很帅，很可爱，饭也很好吃！,1,1,0.9451480418486667
送餐员很热情，很好吃谢谢,1,1,0.9447891693230067
超实惠，好吃,1,1,0.9441446352843914
很好吃，分量足,1,1,0.943969495360349
味道很好吃，配送也很及时，服务态度很好,1,1,0.9437356920955758
送餐师傅态度很好，送餐也很快，谢谢师傅的服务。,1,1,0.9436155214285634
经常买，汤包很好吃，蒸饺也不错。,1,1,0.9435666496817837
送菜速度很快，很好，谢谢师傅,1,1,0.9435384056633294
"口味,不错，干净味道好，送货员服务非常好！",1,1,0.942970051843558
非常快，非常好，没啥说的,1,1,0.9423648017721157
很好吃，包装也很棒,1,1,0.9405822579536351
特别好喝，经常定，快递小哥非常好。,1,1,0.9401582741646545
超快，很好,1,1,0.9391758622731846
送餐很快，很热情，很好,1,1,0.9385232458226305
很好吃，包装很可爱，么么达,1,1,0.937957872413854
配送服务非常好，稻香村很好吃,1,1,0.9376026171665859
"很好,速度也很快,继续努力～～",1,1,0.9373232867927563
"挺好的,挺方便,非常好,不错",1,1,0.9371209788358358
很好，分量足，好吃，包装严实,1,1,0.9367743408416641
非常好！第一次用百度外卖，送餐很快，快递小哥也很礼貌。菜品量足，味道不错，下次再来。,1,1,0.9358549167282962
外卖小哥超好，送的准时，糕点包装的很好。超级棒,1,1,0.9354458624695872
味道很好而且很实惠送得也很快,1,1,0.9323289252407291
味道不错，送餐速度快！很不错大赞,1,1,0.932033283262329
都非常好，就是派送费有点贵！,1,1,0.9310803292585226
味道不错，外卖小哥速度快，态度好,1,1,0.9309187868251014
挺好的，挺不错的，味道不错,1,1,0.930750740674348
点的饺子非常好吃，送餐也很快。,1,1,0.9288437677027476
好吃！速度快！,1,1,0.9283591837037409
非常好，很满意。好好好好哈。,1,1,0.9279823174817592
服务好，速度快，赞,1,1,0.9279305227867931
骑士精神~非常好！又快！！！,1,1,0.9228001968274292
不错，味道很好，提点小小建议，要是能配上点腌菜或者拌菜就很好了,1,1,0.9227842556451988
"及地很好吃,很特别,微辣",1,1,0.9218879987233638
包装好，味道也不错，就是粥有点凉，但卷饼太好吃了！,1,1,0.9216281413309162
味道不错，快递师傅赞赞哒,1,1,0.9188040038663813
很快，不错。,1,1,0.9186477196059673
速度很快，大雾霾天外卖骑士态度都很好，赞赞赞！,1,1,0.9185181346538607
送饭很快，态度很好，赞，,1,1,0.9182909134365324
非常方便，百度骑士很赞！谢谢,1,1,0.9177463383888685
很好！百度骑士送货很快,1,1,0.917554099627371
不错，挺快的,1,1,0.916149469661753
不错很好赞,1,1,0.9160994905462461
非常好吃，味道好极了！！,1,1,0.9159620792119474
服务非常好，菜品也好吃！,1,1,0.9144353423844211
非常好，送货也快,1,1,0.9142598379888046
送餐很快，味道也很不错，量大,1,1,0.9128430473581808
"味道很好吃,送餐速度快,下次还会再买的",1,1,0.9122614676074596
"不错,包装也很好",1,1,0.9122009245294785
速度快，好！,1,1,0.912169738380475
量大很足很不错,1,1,0.9101581308553433
"哈哈哈,好吃",1,1,0.9100856087015287
快递小哥服务好，速度快,1,1,0.9099757444948153
送餐很速度！糕点很好吃,1,1,0.9096949844201688
薯条很大很好吃！送餐快！,1,1,0.9095842145201608
"每次都很快,一如既往的好吃",1,1,0.9095572786608618
味道很好也很负责,1,1,0.9094289091133028
速度快，态度好，好评！,1,1,0.9087968245453695
这次很好吃,1,1,0.9083914995918475
快递小哥儿很快就送到了，人不错，很有礼貌!,1,1,0.9082869231562898
很快，服务很好,1,1,0.908148340308499
非常好，快递非常不错,1,1,0.9081434918799995
"很好吃,特别快就到了",1,1,0.9077078093168739
一如既往，好！非常满意！谢谢商家哦！,1,1,0.9076943714138095
包装很好，很干净,1,1,0.9076424182475523
很好吃，量大。快递小哥，服务一流。,1,1,0.9069989485857233
很好吃的煎饼,1,1,0.9060223505219375
"很好,包装也很好",1,1,0.90593330046327
师傅很好，辛苦啦，这么冷的天,1,1,0.9053978387411578
百度骑士很棒，又快又好,1,1,0.9049764011707998
送餐小哥神速～味道也好～,1,1,0.9044054386608218
味道不错。速度很快。包装也不错。有创意。,1,1,0.9038048667654427
速度很快，外送员辛苦了,1,1,0.9035432210327956
酸菜味道超棒，送餐速度也很快，辛苦快递师傅了！,1,1,0.9019086648494814
很快很好吃更给力会继续支持的,1,1,0.9015051078434151
味道不错，送到还是热的，快递大哥辛苦了,1,1,0.9007636233715601
味道很好啊,1,1,0.9007459261728998
非常满意！送餐很快！,1,1,0.9006503837235783
超级好吃。会经常光临的。哈哈,1,1,0.9001000191433134
很好，速度飞快，炸鸡有点火大,1,1,0.8998359273724228
"第二次吃了,很好,送餐也很快态度非常好",1,1,0.8995960502590578
南京盐水鸭不错，鲜肉小笼汤包皮薄很好。,1,1,0.8987629074722441
餐送到门门口，态度很好，包装很棒卷饼用锡纸包着，味道很棒，之后还会买,1,1,0.898108091593331
非常好吃的，就是今天慢了点儿，,1,1,0.8979256972152121
特别快就送到了…而且特别好吃，包装很漂亮,1,1,0.8972596102253829
谢谢，服务非常好，继续支持,0,1,0.8971559618742894
味道不错，就是量不大,1,1,0.8964383371427294
特别好的师傅，冒雨还送得非常快，感谢百度外卖的送货师傅们。,1,1,0.8961609814486686
快递小哥态度特别好…辛苦啦谢谢,1,1,0.8958594615559696
不错，服务很好,0,1,0.8957558710927992
挺好的。包装很好,1,1,0.8950686520264042
肉很多，味道不错，配送也很快,1,1,0.8950556065725493
团购超值，很方便，味道也不错，女生吃有点多,1,1,0.8950199409188041
送餐员人很好，服务不错。速度也挺快,1,1,0.8946440333961508
"非常好,赞一个,下次还订",1,1,0.8945619625832631
还是特色的好吃！拿到还是烫的，很好，鸡翅也好吃,1,1,0.8945377813637341
好快，下雨天送餐师傅辛苦了,1,1,0.8935068454276914
非常感谢！辛苦陈骑士啦！,1,1,0.8933472878226122
分量足，好吃！,1,1,0.8925231217346385
挺好吃的，粥也很稠,1,1,0.8912711949013918
很快很好。谢谢。辛苦了。,1,1,0.8905515993950747
"好吃,喜欢,他家的卷饼一向实惠,服务也贴心",1,1,0.8898881446430431
味道还是那么好，服务也很好，就是速度再快点就更好了,1,1,0.8895258887018567
很不错的卷饼,1,1,0.8890132881156847
"很好,很方便",1,1,0.88878163845186
"派送员非常好。,速度快,态度棒棒的",1,1,0.8881558599060547
京酱肉丝卷饼挺好吃的~就是口味偏甜了~不过总体来说还不错的说呦！,1,1,0.886621883004362
送餐小哥服务很好！,1,1,0.8865921133871738
快递很快，态度好，赞,1,1,0.886580851986121
辛苦了，味道不错，比想象的还要好呢！速度巨快！,1,1,0.8848912316009309
"服务很好,好吃,送餐快",1,1,0.8848726780720729
非常好，送餐大哥很可爱。,1,1,0.8841424284036872
挺好吃的。非常喜欢。,1,1,0.8839121151533716
"送餐很快,味道很好",1,1,0.8828668100673916
送货很快，汤包好吃。,1,1,0.8820933553556751
粥挺好吃的，卷饼味道不错，可惜有点凉,1,1,0.8816725533375136
守时守信！非常好的骑士,1,1,0.881162118658634
速度很快，菜的味道也好！不错！,1,1,0.8808134656419213
挺好吃，送餐快。,0,1,0.8804853655255079
送的很快，味道不错，不咸,1,1,0.8800188669340372
挺好的，挺快的,1,1,0.8792600899154194
一直都很好，送餐师傅也很好。,0,1,0.8790595437235501
挺好吃的，凉拌木耳味道也很好,1,1,0.8786500152611947
卷饼很好吃，名字很霸气，就是粥有点凉了，送的很快,1,1,0.8777394393173105
一如既往的好，配送非常快。,1,1,0.8776362040617659
不错不错，卷饼卷的很圆,1,1,0.8774943760505916
"快递速度给力,煎饼一如既往的好,给赞",1,1,0.876817618736485
很满意。味道好好，量还足。送餐好快，谢谢百度外卖的送餐师傅。,1,1,0.8766348989855719
味道不错，超值的,0,1,0.8758481192480335
这大下雪天的百度骑士非常好非常快的送来了，必须好评大赞,1,1,0.8756525563289981
稻香村的点心自然不必多说了，就是好吃！外卖小哥服务也非常好～赞\(≧▽≦)/！,1,1,0.875651263868544
送餐挺快的，送餐员态度很好，谢谢这么凉的下雨天给送餐，菜也都挺好吃的，热呼呼的，下次再定,1,1,0.8756492389384515
很好吃很超值,1,1,0.875459209327604
速度非常快，味道也挺好，一直喜欢他家的皮蛋粥,1,1,0.8754513517600919
好吃！并且包装的特别好！梅州东坡棒棒嗒,1,1,0.8744552377517264
味道很好，用料很实在,1,1,0.8737439851889889
超快！服务好热情,1,1,0.8735437696439389
"还不错,挺好,下次还点",1,1,0.8722998847329295
这次不错，赞一个,1,1,0.8708746935011235
谢谢师傅，非常准时，态度超级好，绝对好评！,1,1,0.8708152482668818
小贵，好吃,1,1,0.8707711639559994
还不错，包子味道好，炒饭稍微油了点，不过能接受,1,1,0.869875155692921
谢谢师傅，辛苦了！非常准时！,1,1,0.8696389898725988
味道很不错，还送湿纸巾，很细致。点赞。,1,1,0.8687923085914793
味道很好，还会光顾,1,1,0.8686910087509406
快递小哥很给力！冒雨前来，态度很好！赞！！！！,1,1,0.8683215725970163
百度骑士送餐快！米饭有点硬。麻辣香锅味道很好！,1,1,0.8682247537827021
"饼好吃,送餐师傅也特好,送餐师傅辛苦啦",1,1,0.8681981026033949
送餐师傅非常好！,1,1,0.8681232268164671
很棒！太快了,1,1,0.8681226879003228
师傅非常好～谢谢,1,1,0.8680926643222551
卷饼很好吃，粥还热。,1,1,0.8680098533372729
很好的，外卖小哥很好很快的，一会儿就送到了，赞,1,1,0.8678048074827236
"好吃,就是贵",1,1,0.8677091443860274
简直神速…非常好喝。继续努力,1,1,0.8676835521010814
辛苦了，速度快~~~,1,1,0.8666843137664686
非常快，品质好，服务态度好,1,1,0.8655463365412788
精致，味道不错！就是价格也高量小,1,1,0.8645924252426918
很满意！服务态度很好！谢谢！,0,1,0.8634821584294643
送餐很快，满意！,1,1,0.8634567735404249
"很好,很实惠",1,1,0.8634518398857148
送餐员态度很好，速度也快。菜品味道好。,1,1,0.8634223672384534
好喝好喝，超级喜欢这家的饮料，小哥送餐也很快,1,1,0.8624578860005807
挺好的！下次还定！辛苦送餐小哥,1,1,0.8619019363769346
超级好吃！！喜欢！,1,1,0.8611949016623646
"快递小哥很好,赞一下",1,1,0.8611157455906989
送餐员服务很到位送餐速度很快，香锅也很好吃,1,1,0.8606625640325704
很好吃！干煸豆角非常推荐！牛肉烧卖也是棒棒哒,1,1,0.8604628672638254
非常快，态度好。,1,1,0.860075661659642
百度骑士特别给力，奶茶是经典大家都爱喝。,1,1,0.8580611278028156
菜的味道还不错，有点儿油。送餐员态度很好，天气热真的很辛苦，谢谢了。,0,1,0.857376216992609
"服务超级好,不错,很耐心很客气",1,1,0.8564744924981883
"有效率,非常好",1,1,0.8562369817579716
速度快，送餐师傅很喜庆，很客气！必须满星！真棒,1,1,0.8562218968845721
感谢百度骑士，天冷了注意保暖，辛苦了,1,1,0.855751629085106
送货快～一直听说黄太吉～终于品尝了～很好吃,1,1,0.8551061824668786
快递小哥很给力，很快哦,0,1,0.8549834754993175
骑士服务态度很好，速度很迅速！,1,1,0.8544608329418041
超级好吃哦,1,1,0.854127683795549
"味道不错,就外卖来说,挺好了",0,1,0.853088947160059
凉面味道确实不错，豆浆好喝。速度快。,1,1,0.8523181808574114
不错、白度快递小哥速度够快！饭品也OK,1,1,0.8518098547922467
"外卖大哥超级好,披萨也不错",1,1,0.8515407898146184
"非常非常快,服务好,大赞",1,1,0.8507984182734851
"东西好吃又实惠,送餐又快,好评",1,1,0.8505941204899226
百度骑士太给力了,0,1,0.8503110462067041
价格实惠，很好，值得购买。,1,1,0.8493885477829312
送过来披萨还是热的，一如既往的好吃，赞一个,1,1,0.848013275292298
"饭菜质量很好，送货速,度快，。服务好。",1,1,0.8475006597985076
送餐师傅人挺好，特别客气，菜也很多，量比较大。不错,1,1,0.8473595713365604
快递态度好，速度快,1,1,0.8471805804774553
"很好吃,忘给筷子啦",1,1,0.8468478223227631
"每次都买珍珠奶茶,很好喝,送餐速度也快！推荐购买",1,1,0.8467402739596988
送餐快又准时，非常好吃，两个人竟然没吃完。晚上再煮点面放进去，晚饭都解决了。鸡块很多，味道很好。口味重！值得推荐！,1,1,0.8457564244419152
味道不错，送餐稍慢,1,1,0.8454838847342452
味道一如既往的好，说好的微辣呢，感觉比普通还辣，但盖不过眉州的美味，好评,1,1,0.8454249279111863
"我只能说这么冷的天,送的很快，店里人直接送的,太温暖了,很好吃,老板人不错",1,1,0.8444603579411547
很实惠，味道不错,0,1,0.844261801449292
不错！挺快的！菜没凉,0,1,0.8433437078147783
汤包好吃！送得也快，天气很热，送餐员辛苦了！,1,1,0.840895534558291
外卖小哥特别热情特别好！～,1,1,0.8403352972092569
煎饼是我吃过的最好吃的煎饼，大个，重要的是没有一点没糊，油条非常低油，感觉很健康，味道也很好。抄手很够味，但调料稍微偏咸。豆腐脑很赞！很实，卤汁很解渴。椒盐双菇也不错。,1,1,0.8388728104508769
小菜很好吃。,1,1,0.8378149207470265
"已入肚(ฅ>ω<*ฅ)，都挺好吃的，不过重庆杂面酱有点咸了，感觉至少在少放上一勺盐才能接受。味道倒是不错。,日常:小哥辛苦了。",1,1,0.8377146535747456
good！吃的好。骑士好。都很赞！,1,1,0.83671362123831
挺好吃的额，继续加油↖(^ω^)↗,1,1,0.8360054494941567
"不错，常客了，肘子的好吃,送货也快",1,1,0.8353738750505015
终于吃到闻名已久的站点披萨～味道很好～,1,1,0.8341799583339997
牛肉粉儿好吃好吃！,1,1,0.8337886117270883
挺不错的，很快,1,1,0.8314592881506914
特别好吃，味道赞赞哒,1,1,0.8299177939961073
饭很好吃，一直吃眉州东坡,1,1,0.8290721089952539
配送速度非常快！好评！,1,1,0.8285428639760307
"快递小哥太棒了！哈哈,菜也好吃",1,1,0.828320893004662
小哥态度特别好，送的很快,1,1,0.8282477399028482
配送及时，态度很好，五星好评,1,1,0.8279865777439565
老字号！味道好！一如既往的习惯！,1,1,0.8278764521836282
"服务好,速度快",1,1,0.8278517757900379
超级好吃~明天还定~,1,1,0.8277295157325663
很好吃，总爱点他家的饭当工作餐。,1,1,0.8274478118233821
味道很好，吃起来也方便～,1,1,0.8266710010728212
卡超级快就送到了谢谢谢谢,1,1,0.8264154970826042
"超级超级快,好高大上的包装,还会再来哦",1,1,0.82549743896778
很好吃，而且便宜实惠,1,1,0.825408735207479
感觉真不错，看包装就给人干净放心样子，量也很足，不错,1,1,0.8240081111116415
服务超级好，赞,1,1,0.8237214514703246
非常快！配送员也特别好……,1,1,0.8224174685950296
量还不错，酱汁味道也赞，就是性价比稍微蛋疼了点,1,1,0.8211209227054694
送餐员态度很好，产品质量也好，满意。,1,1,0.8205908322050548
很快。就是粥有些凉。。外送服务很好哦,1,1,0.8201343440474268
品质不错，希望一如既往地坚持！,1,1,0.82007525458653
女友很喜欢,1,1,0.8187274850606554
很好吃，下回还会买的,1,1,0.8183062707258761
美团不能送，果断换百度，很快就到了，师傅辛苦，谢谢。,1,1,0.8172068349039564
"不错,送货快,包装好",1,1,0.8171996839505891
真的很好吃，送餐很准时,1,1,0.8169366635144284
服务态度很好，服务态度很好,1,1,0.8160802775318848
"师傅相当神速啊,好评！",1,1,0.815652095835481
"味道很赞，鸡肉很嫩很很有嚼劲，重点是送餐太快了，哈哈哈哈哈哈，喜欢。,手动10000000000000个赞。",1,1,0.815577040563231
送货人员服务很好，迅速及时，菜品口味很好,1,1,0.8149499444713861
味道不错，还有手套送。送餐速度也挺快的，满意！,1,1,0.8149115062862582
菜很好吃，就是炒饭这次给的有点少。,1,1,0.8136875928541761
卷饼不错好吃，粥一般,1,1,0.8136548283541606
很好，热干面有点干了，但是是正常的，好吃。,1,1,0.8127552714400005
好多肉啊，又便宜，很不错哦,1,1,0.8119644642284607
"下着雨,送餐很及时,孙师傅很认真,敬业,非常好,！",1,1,0.8118159560138399
"非常快,服务好,送餐员超温馨,点个赞",1,1,0.8117094209856991
不错，肉多,1,1,0.8114947023836862
卷饼好大，味道还不错，吃着有点撑,1,1,0.8113841388120601
"送餐特别快,态度好,辛苦啦,谢谢",1,1,0.8112594837631818
很给力！便宜又好吃,1,1,0.8103118941398736
送餐姐姐服务特别好，耐心友善，赞赞,1,1,0.8100975001481813
提前订，还是挺快的！送餐师傅人很好！,1,1,0.8096580664978242
"又好吃,又准时",1,1,0.8085145157827345
口味特别好,1,1,0.806544472468988
便宜好吃特来推荐,1,1,0.8060963818153567
非常不错，值得推荐,1,1,0.8056561117047373
速度快，量多，很香,1,1,0.8050512243154998
百度骑士很给力！菜品还可以！,1,1,0.8047544941385624
好好好好好！快递辛苦啦！,1,1,0.8041059810164225
很好吃的饭跟芝士土豆球。就是速度有点慢。,1,1,0.8027136412083661
拌面有点坨，味道很好,1,1,0.8024380483135031
很好，送餐也及时。,1,1,0.8013172837314173
不错，推荐,1,1,0.8009497494597662
味道不错，可惜量偏少,1,1,0.8008283863641781
速度快、味道好、服务好。,1,1,0.8006921539546036
送的特别快，味道棒棒哒,1,1,0.7995606927625764
速度很快，食品也特别棒！,1,1,0.7988279614039158
味道不错，我天天都会吃一个,1,1,0.7980120336698004
